,loader,time
0,decord_VL,0.039363833637617064
1,decord_VR_forloop,0.07783921308800927
2,decord_VR_batch,0.08444048269957422
3,decord_VL,0.03801568601265899
4,decord_VR_forloop,0.07627407711188425
5,decord_VR_batch,0.07809961668754113
6,decord_VL,0.037412739075080026
7,decord_VR_forloop,0.07791741448745598
8,decord_VR_batch,0.08111455178732285
9,decord_VL,0.03695649726214469
10,decord_VR_forloop,0.07801764257528702
11,decord_VR_batch,0.0818066478757828
12,decord_VL,0.03741418567442452
13,decord_VR_forloop,0.07671375950158107
14,decord_VR_batch,0.0789306331636908
15,decord_VL,0.035853544337442145
16,decord_VR_forloop,0.07842599522555246
17,decord_VR_batch,0.08344868437488913
18,decord_VL,0.0376360018250125
19,decord_VR_forloop,0.07755051468702732
20,decord_VR_batch,0.0819597375128069
21,decord_VL,0.038876131275173975
22,decord_VR_forloop,0.07759852662638878
23,decord_VR_batch,0.08044772708672099
24,decord_VL,0.036987930163013515
25,decord_VR_forloop,0.07724549121339805
26,decord_VR_batch,0.08124898145106271
27,decord_VL,0.03832158792502014
28,decord_VR_forloop,0.07847896077582846
29,decord_VR_batch,0.08373200766072841
