,decoder,video,time,num_frames,num_threads
0,decord_cpu,WUzgd7C1pWA.mp4,0.09025365533307195,327,1
1,tv_newAPI,WUzgd7C1pWA.mp4,0.2177338395267725,327,1
2,pyav,WUzgd7C1pWA.mp4,0.20027910685166717,327,1
3,tv_vr,WUzgd7C1pWA.mp4,0.18591436790302396,327,1
4,tv_pyav,WUzgd7C1pWA.mp4,0.23311547841876745,327,1
5,openCV,WUzgd7C1pWA.mp4,0.04693423304706812,327,1
6,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02567931544035673,49,1
7,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01675958512350917,49,1
8,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.013947026804089546,49,1
9,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.011791631579399109,49,1
10,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01685046311467886,49,1
11,openCV,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.015525355003774166,49,1
12,decord_cpu,v_SoccerJuggling_g24_c01.avi,0.046269255224615335,251,1
13,tv_newAPI,v_SoccerJuggling_g24_c01.avi,0.06242580758407712,251,1
14,pyav,v_SoccerJuggling_g24_c01.avi,0.04997753398492932,251,1
15,tv_vr,v_SoccerJuggling_g24_c01.avi,0.032825661823153496,251,1
16,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.06258460972458124,251,1
17,openCV,v_SoccerJuggling_g24_c01.avi,0.026516982354223728,251,1
18,decord_cpu,R6llTwEh07w.mp4,0.08830417599529028,303,1
19,tv_newAPI,R6llTwEh07w.mp4,0.19191132672131062,303,1
20,pyav,R6llTwEh07w.mp4,0.176648854278028,303,1
21,tv_vr,R6llTwEh07w.mp4,0.15212975768372416,303,1
22,tv_pyav,R6llTwEh07w.mp4,0.22334145987406373,303,1
23,openCV,R6llTwEh07w.mp4,0.04278697958216071,303,1
24,decord_cpu,SOX5yA1l24A.mp4,0.09081364516168833,332,1
25,tv_newAPI,SOX5yA1l24A.mp4,0.17001074878498912,332,1
26,pyav,SOX5yA1l24A.mp4,0.1539661195129156,332,1
27,tv_vr,SOX5yA1l24A.mp4,0.14271675469353795,332,1
28,tv_pyav,SOX5yA1l24A.mp4,0.19064945494756103,332,1
29,openCV,SOX5yA1l24A.mp4,0.03819592576473951,332,1
30,decord_cpu,v_SoccerJuggling_g23_c01.avi,0.05396640347316861,240,1
31,tv_newAPI,v_SoccerJuggling_g23_c01.avi,0.06530628260225058,240,1
32,pyav,v_SoccerJuggling_g23_c01.avi,0.052810221910476685,240,1
33,tv_vr,v_SoccerJuggling_g23_c01.avi,0.03686255915090442,240,1
34,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.061846379190683365,240,1
35,openCV,v_SoccerJuggling_g23_c01.avi,0.0255164154805243,240,1
36,decord_cpu,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.02326997183263302,75,1
37,tv_newAPI,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021570176351815462,75,1
38,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.017808007076382637,75,1
39,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.013345494866371155,75,1
40,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.036923729814589024,75,1
41,openCV,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.017541206907480955,75,1
42,decord_cpu,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.033340638503432274,73,1
43,tv_newAPI,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.028470213524997234,73,1
44,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.024130336940288544,73,1
45,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.020831767935305834,73,1
46,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.028857393190264702,73,1
47,openCV,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.025188019033521414,73,1
48,decord_cpu,WUzgd7C1pWA.mp4,0.09227128839120269,327,4
49,tv_newAPI,WUzgd7C1pWA.mp4,0.2094732248224318,327,4
50,pyav,WUzgd7C1pWA.mp4,0.18171794805675745,327,4
51,tv_vr,WUzgd7C1pWA.mp4,0.15417674323543906,327,4
52,tv_pyav,WUzgd7C1pWA.mp4,0.2126647811383009,327,4
53,openCV,WUzgd7C1pWA.mp4,0.04636270646005869,327,4
54,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.025944140274077654,49,4
55,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.016949054785072803,49,4
56,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.014113861601799726,49,4
57,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0113657689653337,49,4
58,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.017005275934934616,49,4
59,openCV,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.015282697509974241,49,4
60,decord_cpu,v_SoccerJuggling_g24_c01.avi,0.04181278310716152,251,4
61,tv_newAPI,v_SoccerJuggling_g24_c01.avi,0.06486812606453896,251,4
62,pyav,v_SoccerJuggling_g24_c01.avi,0.05014609219506383,251,4
63,tv_vr,v_SoccerJuggling_g24_c01.avi,0.031140972394496202,251,4
64,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.0752306105569005,251,4
65,openCV,v_SoccerJuggling_g24_c01.avi,0.027200401294976473,251,4
66,decord_cpu,R6llTwEh07w.mp4,0.08213816396892071,303,4
67,tv_newAPI,R6llTwEh07w.mp4,0.20263057807460427,303,4
68,pyav,R6llTwEh07w.mp4,0.1770117375999689,303,4
69,tv_vr,R6llTwEh07w.mp4,0.15170192904770374,303,4
70,tv_pyav,R6llTwEh07w.mp4,0.21781018748879433,303,4
71,openCV,R6llTwEh07w.mp4,0.04287518095225096,303,4
72,decord_cpu,SOX5yA1l24A.mp4,0.0776114291511476,332,4
73,tv_newAPI,SOX5yA1l24A.mp4,0.18156136479228735,332,4
74,pyav,SOX5yA1l24A.mp4,0.1536609181202948,332,4
75,tv_vr,SOX5yA1l24A.mp4,0.12530680373311043,332,4
76,tv_pyav,SOX5yA1l24A.mp4,0.19876651326194406,332,4
77,openCV,SOX5yA1l24A.mp4,0.0368886049836874,332,4
78,decord_cpu,v_SoccerJuggling_g23_c01.avi,0.04162172647193074,240,4
79,tv_newAPI,v_SoccerJuggling_g23_c01.avi,0.06781139550730586,240,4
80,pyav,v_SoccerJuggling_g23_c01.avi,0.05353419203311205,240,4
81,tv_vr,v_SoccerJuggling_g23_c01.avi,0.03525516577064991,240,4
82,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.0782448435202241,240,4
83,openCV,v_SoccerJuggling_g23_c01.avi,0.02549819089472294,240,4
84,decord_cpu,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.023295749444514513,75,4
85,tv_newAPI,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021760749630630016,75,4
86,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.01824231492355466,75,4
87,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.012870031874626875,75,4
88,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021044228225946426,75,4
89,openCV,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.017640246078372,75,4
90,decord_cpu,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03507535392418504,73,4
91,tv_newAPI,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.02885031048208475,73,4
92,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0242865146137774,73,4
93,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.019947343040257692,73,4
94,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04590005427598953,73,4
95,openCV,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.025131016969680786,73,4
96,decord_cpu,WUzgd7C1pWA.mp4,0.09500722354277968,327,8
97,tv_newAPI,WUzgd7C1pWA.mp4,0.21284322021529078,327,8
98,pyav,WUzgd7C1pWA.mp4,0.18305930914357305,327,8
99,tv_vr,WUzgd7C1pWA.mp4,0.16417742799967527,327,8
100,tv_pyav,WUzgd7C1pWA.mp4,0.22978350054472685,327,8
101,openCV,WUzgd7C1pWA.mp4,0.04470297833904624,327,8
102,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.022585234604775906,49,8
103,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.017259230837225914,49,8
104,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01422429783269763,49,8
105,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01148866768926382,49,8
106,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.033031567465513945,49,8
107,openCV,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01438865251839161,49,8
108,decord_cpu,v_SoccerJuggling_g24_c01.avi,0.04448275035247207,251,8
109,tv_newAPI,v_SoccerJuggling_g24_c01.avi,0.06619453430175781,251,8
110,pyav,v_SoccerJuggling_g24_c01.avi,0.05010227905586362,251,8
111,tv_vr,v_SoccerJuggling_g24_c01.avi,0.030946885235607624,251,8
112,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.05938487080857158,251,8
113,openCV,v_SoccerJuggling_g24_c01.avi,0.02593479910865426,251,8
114,decord_cpu,R6llTwEh07w.mp4,0.08524447679519653,303,8
115,tv_newAPI,R6llTwEh07w.mp4,0.20581372547894716,303,8
116,pyav,R6llTwEh07w.mp4,0.17849316354840994,303,8
117,tv_vr,R6llTwEh07w.mp4,0.1593574471771717,303,8
118,tv_pyav,R6llTwEh07w.mp4,0.20994639256969094,303,8
119,openCV,R6llTwEh07w.mp4,0.04137564683333039,303,8
120,decord_cpu,SOX5yA1l24A.mp4,0.10285068210214376,332,8
121,tv_newAPI,SOX5yA1l24A.mp4,0.18392041744664311,332,8
122,pyav,SOX5yA1l24A.mp4,0.15456301160156727,332,8
123,tv_vr,SOX5yA1l24A.mp4,0.13613780587911606,332,8
124,tv_pyav,SOX5yA1l24A.mp4,0.20253621274605393,332,8
125,openCV,SOX5yA1l24A.mp4,0.03720564441755414,332,8
126,decord_cpu,v_SoccerJuggling_g23_c01.avi,0.054063113406300545,240,8
127,tv_newAPI,v_SoccerJuggling_g23_c01.avi,0.06901716068387032,240,8
128,pyav,v_SoccerJuggling_g23_c01.avi,0.05354140046983957,240,8
129,tv_vr,v_SoccerJuggling_g23_c01.avi,0.04083589976653457,240,8
130,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.06384875997900963,240,8
131,openCV,v_SoccerJuggling_g23_c01.avi,0.026138711255043745,240,8
132,decord_cpu,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.022187276743352413,75,8
133,tv_newAPI,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.02220596931874752,75,8
134,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.017980645410716534,75,8
135,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.012968340888619423,75,8
136,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.037164818961173296,75,8
137,openCV,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.017297592014074326,75,8
138,decord_cpu,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.035799840930849314,73,8
139,tv_newAPI,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.029696738813072443,73,8
140,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.024330363143235445,73,8
141,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.020223953761160374,73,8
142,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.028988647274672985,73,8
143,openCV,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.024912601336836815,73,8
