,method,k,time
0,single_tensor,5,4.437534999999881e-05
1,single_tensor,10,7.936160999999942e-05
2,single_tensor,50,0.00071415271
3,single_tensor,100,0.002713315799999998
4,single_tensor,500,0.01635359019
5,single_tensor,1000,0.08077901534999998
6,single_tensor,5000,0.44167857196
7,for_loop_nostack,5,7.67719200000272e-05
8,for_loop_nostack,10,0.00018799897000000953
9,for_loop_nostack,50,0.00418395910000001
10,for_loop_nostack,100,0.013917384659999997
11,for_loop_nostack,500,0.06381093215
12,for_loop_nostack,1000,0.15243581074999996
13,for_loop_nostack,5000,0.82159740806
14,for_loop_stack,5,0.00016408442999988894
15,for_loop_stack,10,0.0005046847600002025
16,for_loop_stack,50,0.005282784530000128
17,for_loop_stack,100,0.0171145293699999
18,for_loop_stack,500,0.06799331060000015
19,for_loop_stack,1000,0.18233576139999996
20,for_loop_stack,5000,0.9352513007100001
